,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
9210,4155756,,2017,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2017-12-11,47,Building Audit,14,2,2,2,2,,3,,2,,,2,2,5,2,2,2,2,3,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
7210,4155756,,2018,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2019-02-14,56,Evaluation needs to be conducted in 1 year,14,2,3,1,3,,3,,3,,,2,3,5,3,3,3,3,2,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
5020,4155756,,2019,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2019-12-09,44,Building Audit,14,2,3,1,2,,3,,3,,,2,2,5,1,1,2,2,2,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
3732,4155756,,2020,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2020-12-09,53,Evaluation needs to be conducted in 1 year,14,3,3,2,2,,3,,3,,,3,3,4,2,3,2,2,2,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
2890,4155756,,2021,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2021-10-12,53,Evaluation needs to be conducted in 1 year,14,2,3,3,2,,3,,3,,,3,3,4,2,2,2,2,3,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
263,4155756,,,1927,PRIVATE,12,Toronto-St. Paul's,6 PINEWOOD AVE,3,11,2022-12-14,56,Evaluation needs to be conducted in 1 year,14,3,3,2,2,,3,,4,,,2,3,5,2,2,2,3,3,,,S1229,43.682454983,-79.425041007,310827.715,4837837.046
11393,4155757,2017,2017,1961,PRIVATE,3,Etobicoke-Lakeshore,2493 LAKE SHORE BLVD W,9,151,2017-10-16,74,Evaluation needs to be conducted in 2 years,18,3,4,4,3,4,4,,4,4,3,3,3,5,4,4,4,4,4,3,,W0336,43.6123803849,-79.4879248651,305759.003,4830048.647
6202,4155757,2017,2019,1961,PRIVATE,3,Etobicoke-Lakeshore,2493 LAKE SHORE BLVD W,9,151,2019-11-01,84,Evaluation needs to be conducted in 2 years,20,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,W0336,43.6123803849,-79.4879248651,305759.003,4830048.647
2454,4155757,2017,2021,1961,PRIVATE,3,Etobicoke-Lakeshore,2493 LAKE SHORE BLVD W,9,151,2021-11-04,76,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,4,,5,4,2,4,4,5,3,4,4,3,3,3,,W0336,43.6123803849,-79.4879248651,305759.003,4830048.647
10783,4155758,2017,2017,2005,PRIVATE,8,Eglinton-Lawrence,515 ROSEWELL AVE,7,89,2017-10-31,78,Evaluation needs to be conducted in 2 years,20,5,4,4,3,4,4,3,4,4,4,4,4,5,3,4,4,4,3,4,4,N0829,43.7222177359,-79.4134144337,311760.877,4842254.524
