,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
10021,4152554,2017,2017,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2017-11-16,60,Evaluation needs to be conducted in 1 year,15,3,2,3,3,3,3,,3,,,3,4,3,3,3,2,,4,3,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
7782,4152554,2017,2018,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2019-01-14,81,Evaluation needs to be conducted in 2 years,14,4,4,4,4,4,4,,4,,,4,4,5,4,4,4,,4,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
4596,4152554,2017,2020,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2020-11-04,73,Evaluation needs to be conducted in 2 years,14,3,3,4,3,4,3,,4,,,3,3,5,4,4,4,,4,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
1818,4152554,2017,,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2022-09-14,73,Evaluation needs to be conducted in 2 years,14,3,4,5,2,5,3,,4,,,3,3,3,4,3,4,,5,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
9071,4152555,2017,2017,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2017-12-15,65,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,2,,4,,,3,2,5,4,3,4,4,3,3,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
7813,4152555,2017,2018,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2019-01-11,79,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,4,,3,4,4,5,4,4,4,4,4,3,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
4595,4152555,2017,2020,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2020-11-04,76,Evaluation needs to be conducted in 2 years,17,3,3,4,3,4,3,,5,,4,3,3,5,4,4,4,5,4,4,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
1694,4152555,2017,,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2022-09-26,76,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,,4,,3,4,4,5,4,4,3,3,3,4,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
10020,4152556,2017,2017,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2017-11-16,73,Evaluation needs to be conducted in 2 years,15,3,4,4,4,,3,,4,,,4,4,5,3,3,4,4,3,3,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
5759,4152556,2017,2019,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2019-11-19,81,Evaluation needs to be conducted in 2 years,15,4,3,5,4,,5,,4,,,5,5,5,4,3,3,3,5,3,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
1864,4152556,2017,,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2022-05-20,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,3,4,5,3,4,4,,5,4,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
9803,4152557,2017,2017,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2017-11-23,72,Evaluation needs to be conducted in 2 years,17,3,3,4,4,5,3,,4,,3,4,4,5,3,3,4,3,3,3,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
5757,4152557,2017,2019,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2019-11-19,83,Evaluation needs to be conducted in 2 years,15,3,4,5,5,4,5,,4,,,4,5,5,4,3,3,,5,3,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
1866,4152557,2017,,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2022-05-20,83,Evaluation needs to be conducted in 2 years,14,4,5,5,4,4,4,,4,,,3,4,5,4,4,4,,4,,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
10132,4152558,2017,2017,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2017-11-15,59,Evaluation needs to be conducted in 1 year,16,3,2,3,3,2,3,,2,,3,3,3,5,4,2,3,,3,3,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
7809,4152558,2017,2018,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2019-01-11,81,Evaluation needs to be conducted in 2 years,15,4,4,4,4,4,4,,4,,,4,4,5,4,4,4,,4,4,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
4515,4152558,2017,2020,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2020-11-05,81,Evaluation needs to be conducted in 2 years,14,4,4,5,4,4,4,,4,,,5,2,5,4,4,4,,4,,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
1817,4152558,2017,,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2022-09-14,80,Evaluation needs to be conducted in 2 years,15,4,4,5,4,5,4,,4,,,4,4,5,3,4,3,,3,4,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
10125,4152559,2017,2017,1954,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2017-11-15,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,3,,4,,4,4,3,5,4,3,3,,3,4,,E2033,43.6753306295,-79.2779449422,322689.673,4837065.722
5763,4152559,2017,2019,1954,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2019-11-19,83,Evaluation needs to be conducted in 2 years,16,4,4,5,5,4,4,,3,,4,4,5,5,4,3,4,,5,3,,E2033,43.6753306295,-79.2779449422,322689.673,4837065.722
2077,4152559,2017,2021,1954,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2021-12-13,89,Evaluation needs to be conducted in 3 years,16,4,5,5,4,5,5,,4,,5,4,5,5,4,4,4,,5,3,,E2033,43.6753306295,-79.2779449422,322689.673,4837065.722
10119,4152560,2017,2017,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2017-11-15,79,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,3,4,4,4,3,5,4,4,4,4,4,4,,E2033,43.6751742383,-79.2785094053,322644.203,4837048.226
5762,4152560,2017,2019,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2019-11-19,83,Evaluation needs to be conducted in 2 years,19,5,4,5,5,5,5,4,4,5,5,4,5,5,2,3,4,1,5,3,,E2033,43.6751742383,-79.2785094053,322644.203,4837048.226
2045,4152560,2017,2021,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2021-12-20,82,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,3,4,,4,5,5,4,4,4,4,4,4,,E2033,43.6751742383,-79.2785094053,322644.203,4837048.226
10178,4152561,2017,2017,1920,PRIVATE,20,Scarborough Southwest,1165 KINGSTON RD,4,21,2017-11-14,54,Evaluation needs to be conducted in 1 year,14,3,2,2,2,,2,,3,,,3,2,5,3,3,3,,3,2,,E2033,43.681968905,-79.2794672741,322565.015,4837802.9
7826,4152561,2017,2018,1920,PRIVATE,20,Scarborough Southwest,1165 KINGSTON RD,4,21,2019-01-10,79,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,4,,4,,,4,4,5,4,4,4,4,4,3,,E2033,43.681968905,-79.2794672741,322565.015,4837802.9
4523,4152561,2017,2020,1920,PRIVATE,20,Scarborough Southwest,1165 KINGSTON RD,4,21,2020-11-05,78,Evaluation needs to be conducted in 2 years,17,4,4,4,3,3,3,,4,,4,3,3,5,4,4,5,5,4,4,,E2033,43.681968905,-79.2794672741,322565.015,4837802.9
1747,4152561,2017,,1920,PRIVATE,20,Scarborough Southwest,1165 KINGSTON RD,4,21,2022-09-20,76,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,3,,4,,,4,4,5,4,4,4,,4,2,,E2033,43.681968905,-79.2794672741,322565.015,4837802.9
9413,4152562,2018,2017,1932,PRIVATE,20,Scarborough Southwest,3010 QUEEN ST E,4,16,2017-12-05,59,Evaluation needs to be conducted in 1 year,14,3,3,3,2,,2,,3,,,2,3,3,4,3,3,,4,3,,E2033,43.6754799628,-79.2772204699,322748.047,4837082.469
7781,4152562,2018,2018,1932,PRIVATE,20,Scarborough Southwest,3010 QUEEN ST E,4,16,2019-01-14,71,Evaluation needs to be conducted in 2 years,15,3,4,4,2,3,3,,3,,,3,5,5,4,3,4,,4,3,,E2033,43.6754799628,-79.2772204699,322748.047,4837082.469
3508,4152562,2018,2020,1932,PRIVATE,20,Scarborough Southwest,3010 QUEEN ST E,4,16,2020-12-19,92,Evaluation needs to be conducted in 3 years,15,5,5,4,5,3,5,,4,,,5,5,5,4,5,5,,5,4,,E2033,43.6754799628,-79.2772204699,322748.047,4837082.469
9412,4152563,2018,2017,1932,PRIVATE,20,Scarborough Southwest,3008 QUEEN ST E,4,16,2017-12-05,56,Evaluation needs to be conducted in 1 year,15,2,3,3,2,3,2,,3,,,2,3,2,4,3,3,,4,3,,E2033,43.6754276016,-79.277427743,322731.349,4837076.607
7780,4152563,2018,2018,1932,PRIVATE,20,Scarborough Southwest,3008 QUEEN ST E,4,16,2019-01-14,73,Evaluation needs to be conducted in 2 years,15,3,4,4,3,3,3,,3,,,3,5,5,4,4,4,,4,3,,E2033,43.6754276016,-79.277427743,322731.349,4837076.607
4510,4152563,2018,2020,1932,PRIVATE,20,Scarborough Southwest,3008 QUEEN ST E,4,16,2020-11-05,91,Evaluation needs to be conducted in 3 years,15,5,5,4,5,2,5,,4,,,5,5,5,4,5,5,,5,4,,E2033,43.6754276016,-79.277427743,322731.349,4837076.607
9147,4152564,,2017,1949,PRIVATE,20,Scarborough Southwest,36 WOOD GLEN RD,4,15,2017-12-13,64,Evaluation needs to be conducted in 1 year,14,3,3,3,3,3,3,,3,,,4,3,5,3,3,3,,3,,,E2033,43.6839132294,-79.276016525,322842.633,4838019.642
7750,4152564,,2018,1949,PRIVATE,20,Scarborough Southwest,36 WOOD GLEN RD,4,15,2019-01-15,79,Evaluation needs to be conducted in 2 years,14,4,4,4,4,3,4,,4,,,4,4,5,4,4,4,,3,,,E2033,43.6839132294,-79.276016525,322842.633,4838019.642
4488,4152564,,2020,1949,PRIVATE,20,Scarborough Southwest,36 WOOD GLEN RD,4,15,2020-11-06,79,Evaluation needs to be conducted in 2 years,14,4,4,4,4,3,3,,4,,,4,4,5,3,4,5,,4,,,E2033,43.6839132294,-79.276016525,322842.633,4838019.642
1711,4152564,,,1949,PRIVATE,20,Scarborough Southwest,36 WOOD GLEN RD,4,15,2022-09-23,76,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,,3,,3,4,4,5,3,4,4,,4,,,E2033,43.6839132294,-79.276016525,322842.633,4838019.642
10172,4152569,2017,2017,1960,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,2017-11-14,68,Evaluation needs to be conducted in 2 years,16,3,3,4,2,3,4,,4,,3,3,3,5,4,3,3,,4,3,,E2034,43.6922338982,-79.2630193825,323887.837,4838946.94
5754,4152569,2017,2019,1960,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,2019-11-19,72,Evaluation needs to be conducted in 2 years,15,3,3,4,3,3,3,,4,,,2,3,5,4,4,4,,5,4,,E2034,43.6922338982,-79.2630193825,323887.837,4838946.94
2079,4152569,2017,2021,1960,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,2021-12-13,70,Evaluation needs to be conducted in 2 years,16,3,3,5,3,3,3,,4,,3,3,3,5,4,3,4,,4,3,,E2034,43.6922338982,-79.2630193825,323887.837,4838946.94
1749,4152569,2017,,1960,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,2022-09-20,80,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,3,,4,,4,4,4,5,4,4,4,,4,4,,E2034,43.6922338982,-79.2630193825,323887.837,4838946.94
10251,4152570,2017,2017,1970,PRIVATE,20,Scarborough Southwest,1080 KINGSTON RD,16,202,2017-11-13,72,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,3,3,4,,4,3,4,4,4,3,3,4,3,,E2033,43.6814135656,-79.2831322282,322269.682,4837740.411
5749,4152570,2017,2019,1970,PRIVATE,20,Scarborough Southwest,1080 KINGSTON RD,16,202,2019-11-19,85,Evaluation needs to be conducted in 2 years,20,4,4,5,4,5,3,3,4,4,3,4,5,5,5,5,5,5,5,3,4,E2033,43.6814135656,-79.2831322282,322269.682,4837740.411
10179,4152571,2017,2017,1956,PRIVATE,20,Scarborough Southwest,1200 KINGSTON RD,5,61,2017-11-14,78,Evaluation needs to be conducted in 2 years,18,4,3,4,4,5,4,,4,4,3,4,3,5,4,4,4,4,4,3,,E2033,43.6821685941,-79.2802892859,322498.681,4837824.907
5752,4152571,2017,2019,1956,PRIVATE,20,Scarborough Southwest,1200 KINGSTON RD,5,61,2019-11-19,89,Evaluation needs to be conducted in 3 years,17,5,5,5,4,4,4,,5,4,3,4,5,5,5,4,4,5,5,,,E2033,43.6821685941,-79.2802892859,322498.681,4837824.907
10177,4152572,2017,2017,1956,PRIVATE,20,Scarborough Southwest,1150 KINGSTON RD,5,51,2017-11-14,76,Evaluation needs to be conducted in 2 years,18,4,3,4,4,5,4,,4,3,3,4,3,5,4,4,3,4,4,3,,E2033,43.681930111,-79.280816489,322455.983,4837799.251
5751,4152572,2017,2019,1956,PRIVATE,20,Scarborough Southwest,1150 KINGSTON RD,5,51,2019-11-19,90,Evaluation needs to be conducted in 3 years,18,5,5,5,4,4,5,,5,4,3,4,5,5,5,4,4,5,4,,5,E2033,43.681930111,-79.280816489,322455.983,4837799.251
10252,4152573,2017,2017,1971,PRIVATE,20,Scarborough Southwest,1140 KINGSTON RD,5,34,2017-11-13,71,Evaluation needs to be conducted in 2 years,19,3,3,4,3,3,3,4,4,4,4,4,3,5,3,4,3,4,3,3,,E2033,43.681735253,-79.281298195,322417.201,4837777.498
5750,4152573,2017,2019,1971,PRIVATE,20,Scarborough Southwest,1140 KINGSTON RD,5,34,2019-11-19,83,Evaluation needs to be conducted in 2 years,19,5,5,5,4,3,4,4,4,5,3,4,5,5,3,4,4,4,4,4,,E2033,43.681735253,-79.281298195,322417.201,4837777.498
2051,4152573,2017,2021,1971,PRIVATE,20,Scarborough Southwest,1140 KINGSTON RD,5,34,2021-12-20,76,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,3,3,3,4,,4,4,5,3,4,4,4,3,3,,E2033,43.681735253,-79.281298195,322417.201,4837777.498
9133,4152574,2018,2017,1959,PRIVATE,20,Scarborough Southwest,1336 KINGSTON RD,4,37,2017-12-13,59,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,3,,,3,2,3,3,3,3,,3,3,,E2033,43.6854962871,-79.2749732512,322926.259,4838195.735
7827,4152574,2018,2018,1959,PRIVATE,20,Scarborough Southwest,1336 KINGSTON RD,4,37,2019-01-10,75,Evaluation needs to be conducted in 2 years,16,4,4,4,3,3,3,,4,,3,4,3,5,4,4,4,,4,4,,E2033,43.6854962871,-79.2749732512,322926.259,4838195.735
4481,4152574,2018,2020,1959,PRIVATE,20,Scarborough Southwest,1336 KINGSTON RD,4,37,2020-11-06,76,Evaluation needs to be conducted in 2 years,15,4,3,4,4,3,3,,4,,,3,4,5,4,3,5,,4,4,,E2033,43.6854962871,-79.2749732512,322926.259,4838195.735
1748,4152574,2018,,1959,PRIVATE,20,Scarborough Southwest,1336 KINGSTON RD,4,37,2022-09-20,80,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,,4,,3,4,4,5,4,4,4,,3,4,,E2033,43.6854962871,-79.2749732512,322926.259,4838195.735
9316,4152575,2018,2017,1955,PRIVATE,20,Scarborough Southwest,1420 KINGSTON RD,4,36,2017-12-06,73,Evaluation needs to be conducted in 2 years,15,3,3,3,4,4,4,,4,,,3,3,5,4,3,4,,4,4,,E2033,43.6874626683,-79.2720047537,323164.95,4838414.823
5753,4152575,2018,2019,1955,PRIVATE,20,Scarborough Southwest,1420 KINGSTON RD,4,36,2019-11-19,87,Evaluation needs to be conducted in 3 years,15,5,4,5,4,,4,,4,,4,4,5,5,5,4,4,,4,4,,E2033,43.6874626683,-79.2720047537,323164.95,4838414.823
8688,4152576,2017,2017,1970,TCHC,20,Scarborough Southwest,10 GLEN EVEREST RD,17,350,2018-01-03,59,Evaluation needs to be conducted in 1 year,19,2,3,3,3,3,4,2,3,3,,3,3,3,3,3,3,3,3,3,3,E2035,43.69932241,-79.254778669,324549.538,4839737.34
7227,4152576,2017,2018,1970,TCHC,20,Scarborough Southwest,10 GLEN EVEREST RD,17,350,2019-02-13,63,Evaluation needs to be conducted in 1 year,18,4,2,3,3,3,3,3,3,4,,3,3,3,3,3,4,,3,3,4,E2035,43.69932241,-79.254778669,324549.538,4839737.34
3441,4152576,2017,2021,1970,TCHC,20,Scarborough Southwest,10 GLEN EVEREST RD,17,350,2021-04-13,82,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,4,4,4,,4,4,5,5,4,4,4,4,4,,E2035,43.69932241,-79.254778669,324549.538,4839737.34
9902,4152577,2017,2017,1959,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2017-11-21,60,Evaluation needs to be conducted in 1 year,17,2,2,4,3,3,3,,3,3,,3,2,4,3,4,3,3,3,3,,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
7582,4152577,2017,2018,1959,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2019-01-24,79,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,4,3,4,4,4,5,3,4,4,,4,4,,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
4477,4152577,2017,2020,1959,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2020-11-06,76,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,,4,3,3,3,3,5,4,4,3,4,4,4,,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
1696,4152577,2017,,1959,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2022-09-24,82,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,5,,4,4,4,4,4,5,4,4,4,3,4,4,,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
10121,4152578,2017,2017,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,2017-11-15,72,Evaluation needs to be conducted in 2 years,18,3,3,4,3,4,3,,3,4,4,4,3,5,4,3,4,4,3,4,,E2033,43.6861001378,-79.2821331164,322348.881,4838261.291
5761,4152578,2017,2019,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,2019-11-19,82,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,,4,4,4,4,5,5,3,4,4,4,4,4,,E2033,43.6861001378,-79.2821331164,322348.881,4838261.291
2046,4152578,2017,2021,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,2021-12-20,78,Evaluation needs to be conducted in 2 years,17,4,3,5,4,4,3,,4,4,,4,4,5,3,4,4,4,3,4,,E2033,43.6861001378,-79.2821331164,322348.881,4838261.291
10167,4152579,2017,2017,1971,PRIVATE,20,Scarborough Southwest,23 GLEN EVEREST RD,3,11,2017-11-14,52,Evaluation needs to be conducted in 1 year,15,3,3,2,2,3,2,,2,,,2,2,3,3,3,3,,3,3,,E2035,43.700017847,-79.2530664991,324687.562,4839814.06
7183,4152579,2017,2018,1971,PRIVATE,20,Scarborough Southwest,23 GLEN EVEREST RD,3,11,2019-02-15,66,Evaluation needs to be conducted in 2 years,16,4,3,2,3,3,3,,3,,3,3,4,5,4,4,3,,3,3,,E2035,43.700017847,-79.2530664991,324687.562,4839814.06
4259,4152579,2017,2020,1971,PRIVATE,20,Scarborough Southwest,23 GLEN EVEREST RD,3,11,2020-11-17,78,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,,4,,4,3,5,5,4,4,4,,4,4,,E2035,43.700017847,-79.2530664991,324687.562,4839814.06
1678,4152579,2017,,1971,PRIVATE,20,Scarborough Southwest,23 GLEN EVEREST RD,3,11,2022-09-28,75,Evaluation needs to be conducted in 2 years,15,3,4,3,3,3,4,,4,,,3,4,5,4,4,4,,4,4,,E2035,43.700017847,-79.2530664991,324687.562,4839814.06
10162,4152580,2017,2017,1971,PRIVATE,20,Scarborough Southwest,27 GLEN EVEREST RD,3,11,2017-11-14,52,Evaluation needs to be conducted in 1 year,15,3,3,2,2,3,2,,3,,,2,2,3,3,3,2,,3,3,,E2035,43.7005566696,-79.2528798583,324702.426,4839873.966
7185,4152580,2017,2018,1971,PRIVATE,20,Scarborough Southwest,27 GLEN EVEREST RD,3,11,2019-02-15,73,Evaluation needs to be conducted in 2 years,16,4,3,2,3,3,4,,4,,3,4,4,5,4,4,4,,3,4,,E2035,43.7005566696,-79.2528798583,324702.426,4839873.966
4261,4152580,2017,2020,1971,PRIVATE,20,Scarborough Southwest,27 GLEN EVEREST RD,3,11,2020-11-17,76,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,,4,,4,3,4,5,4,4,4,,4,4,,E2035,43.7005566696,-79.2528798583,324702.426,4839873.966
167,4152580,2017,,1971,PRIVATE,20,Scarborough Southwest,27 GLEN EVEREST RD,3,11,2022-12-21,79,Evaluation needs to be conducted in 2 years,16,4,4,3,3,4,4,,4,,4,3,4,5,4,4,5,,4,4,,E2035,43.7005566696,-79.2528798583,324702.426,4839873.966
10164,4152581,2017,2017,1971,PRIVATE,20,Scarborough Southwest,31-33 GLEN EVEREST RD,3,22,2017-11-14,52,Evaluation needs to be conducted in 1 year,15,2,3,2,3,3,2,,3,,,2,2,2,3,3,3,,3,3,,E2035,43.700613718,-79.2522439531,324702.93,4839900.186
7189,4152581,2017,2018,1971,PRIVATE,20,Scarborough Southwest,31-33 GLEN EVEREST RD,3,22,2019-02-15,74,Evaluation needs to be conducted in 2 years,16,4,4,2,4,3,3,,4,,3,4,4,5,3,4,4,,4,4,,E2035,43.700613718,-79.2522439531,324702.93,4839900.186
4263,4152581,2017,2020,1971,PRIVATE,20,Scarborough Southwest,31-33 GLEN EVEREST RD,3,22,2020-11-17,73,Evaluation needs to be conducted in 2 years,16,3,4,3,3,3,3,,4,,4,3,4,5,4,4,3,,4,4,,E2035,43.700613718,-79.2522439531,324702.93,4839900.186
1675,4152581,2017,,1971,PRIVATE,20,Scarborough Southwest,31-33 GLEN EVEREST RD,3,22,2022-09-28,77,Evaluation needs to be conducted in 2 years,15,4,4,3,4,4,3,,4,,,3,4,5,4,4,4,,4,4,,E2035,43.700613718,-79.2522439531,324702.93,4839900.186
9835,4152582,2017,2017,1960,PRIVATE,20,Scarborough Southwest,4 FOLCROFT AVE,3,13,2017-11-22,56,Evaluation needs to be conducted in 1 year,16,2,3,2,2,2,3,,3,,2,3,2,5,4,3,3,,3,3,,E2035,43.701030915,-79.25119809,324814.217,4839929.968
7228,4152582,2017,2018,1960,PRIVATE,20,Scarborough Southwest,4 FOLCROFT AVE,3,13,2019-02-13,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,2,4,,3,,3,3,3,5,4,4,4,,4,4,,E2035,43.701030915,-79.25119809,324814.217,4839929.968
4212,4152582,2017,2020,1960,PRIVATE,20,Scarborough Southwest,4 FOLCROFT AVE,3,13,2020-11-18,68,Evaluation needs to be conducted in 2 years,16,3,3,4,3,2,4,,3,,2,3,3,5,4,3,4,,4,4,,E2035,43.701030915,-79.25119809,324814.217,4839929.968
1700,4152582,2017,,1960,PRIVATE,20,Scarborough Southwest,4 FOLCROFT AVE,3,13,2022-09-23,69,Evaluation needs to be conducted in 2 years,16,3,3,5,4,2,3,,4,,2,3,3,5,4,3,4,,4,3,,E2035,43.701030915,-79.25119809,324814.217,4839929.968
9841,4152583,2017,2017,1954,PRIVATE,20,Scarborough Southwest,62 GLEN EVEREST RD,4,46,2017-11-22,64,Evaluation needs to be conducted in 1 year,16,3,3,2,2,4,2,,4,,,3,3,5,3,4,3,3,4,3,,E2035,43.702519583,-79.253065845,324686.511,4840092.937
7121,4152583,2017,2018,1954,PRIVATE,20,Scarborough Southwest,62 GLEN EVEREST RD,4,46,2019-02-21,73,Evaluation needs to be conducted in 2 years,16,4,3,4,3,3,3,,4,,,4,4,5,3,4,3,4,4,3,,E2035,43.702519583,-79.253065845,324686.511,4840092.937
4216,4152583,2017,2020,1954,PRIVATE,20,Scarborough Southwest,62 GLEN EVEREST RD,4,46,2020-11-18,72,Evaluation needs to be conducted in 2 years,15,3,3,4,3,3,3,,4,,,3,4,5,4,3,4,,4,4,,E2035,43.702519583,-79.253065845,324686.511,4840092.937
1672,4152583,2017,,1954,PRIVATE,20,Scarborough Southwest,62 GLEN EVEREST RD,4,46,2022-09-28,79,Evaluation needs to be conducted in 2 years,16,4,4,5,3,3,3,,4,,,4,4,5,4,4,4,4,4,4,,E2035,43.702519583,-79.253065845,324686.511,4840092.937
9810,4152585,2017,2017,1960,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2017-11-22,53,Evaluation needs to be conducted in 1 year,16,2,2,4,2,2,3,,3,,2,1,3,4,3,2,3,,3,3,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
7252,4152585,2017,2018,1960,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2019-02-12,74,Evaluation needs to be conducted in 2 years,14,3,4,4,3,,3,,4,,,3,3,5,4,4,4,,4,4,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
4148,4152585,2017,2020,1960,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2020-11-19,68,Evaluation needs to be conducted in 2 years,15,3,3,4,3,3,3,,5,,,3,4,5,3,3,2,,4,3,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
1677,4152585,2017,,1960,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2022-09-28,84,Evaluation needs to be conducted in 2 years,14,4,4,5,4,,4,,4,,,4,4,5,3,5,5,,3,5,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
9898,4152586,2017,2017,1968,PRIVATE,20,Scarborough Southwest,2570 KINGSTON RD,10,118,2017-11-21,69,Evaluation needs to be conducted in 2 years,20,4,4,4,3,3,4,3,3,3,3,3,4,5,3,3,4,4,4,2,3,E2032,43.713486559,-79.2466803233,325197.68,4841311.898
5742,4152586,2017,2019,1968,PRIVATE,20,Scarborough Southwest,2570 KINGSTON RD,10,118,2019-11-20,80,Evaluation needs to be conducted in 2 years,19,5,5,5,4,5,4,3,4,4,4,3,3,4,4,4,4,5,4,2,,E2032,43.713486559,-79.2466803233,325197.68,4841311.898
