Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1095,2652,573,2299,0,27,7,0,20,615,34,47,221,2983
1096,614,762,875,8,0,33,4,0,334,0,56,217,2847
1097,1168,875,2008,73,0,0,0,0,630,187,0,53,3877
1098,3933,2326,2674,24,0,4,0,0,1000,167,17,253,7613
1099,2841,2269,3966,241,0,127,29,12,1462,63,104,64,6189
1100,2103,1101,2674,3,0,0,15,0,1131,198,97,96,4595
1101,1699,1147,1496,0,0,9,5,0,293,0,71,136,2926
1102,1248,1645,2301,8,0,4,4,0,860,0,209,286,3265
1103,2174,1495,1819,4,4,0,5,0,601,0,0,549,4878
1104,3370,1773,2707,192,127,41,21,39,480,0,45,136,2965
1105,2287,789,1169,89,0,0,7,4,325,0,0,351,2691
1106,1640,757,2378,0,0,0,0,0,881,0,8,235,3622
1107,1000,454,1229,0,0,0,5,0,244,7,0,21,1340
1108,5434,1842,4059,477,43,29,16,119,1157,0,90,56,5167
1109,554,666,1167,4,0,0,0,0,600,36,129,133,2128
1110,1416,575,662,0,0,0,0,0,254,10,23,38,1818
1111,2025,707,1227,5,0,0,8,0,306,17,13,32,2918
1112,4106,2268,4340,15,10,0,3,234,1202,501,14,202,6497
1113,1170,1047,1455,0,92,4,0,33,501,14,71,71,3095
1114,1319,1039,1823,142,0,0,0,0,871,566,4,99,2537
1115,782,250,609,0,39,0,0,0,126,0,45,15,1152
1116,1095,711,2264,0,0,0,4,0,692,58,0,4,1808
1117,1452,943,2587,74,8,5,18,0,473,0,0,77,6205
