Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1392,4652,223,2682,148,0,5,0,0,632,0,0,0,1301
1393,671,0,3310,0,0,0,0,143,1263,258,14,125,1399
1394,1482,74,2673,0,0,0,0,0,1276,119,0,47,968
1395,331,78,2378,0,0,8,0,0,1305,19,4,0,582
1396,426,0,3059,12,4,0,0,0,769,327,150,0,116
1397,1316,5,3344,0,6,0,0,91,1480,78,174,0,2186
1398,307,5,1171,0,0,0,0,0,288,16,0,0,145
1399,652,0,1468,148,0,0,0,0,359,0,0,0,70
1400,321,0,926,0,0,0,0,0,104,0,0,0,8
1401,178,0,799,0,0,0,0,0,403,69,0,13,0
1402,531,0,823,0,0,0,0,0,215,102,0,0,179
1403,713,0,2656,0,0,0,0,0,1435,143,0,0,2378
1404,1866,0,5558,0,0,0,0,69,1754,664,69,0,1570
1405,198,177,1612,12,5,0,0,0,440,279,0,164,376
1406,788,5,4091,0,11,0,0,0,1206,38,214,0,2048
1407,84,0,1293,0,0,0,0,0,101,0,0,0,64
1408,603,248,1467,0,0,0,0,0,407,0,0,133,0
1409,425,0,2618,0,0,0,0,0,605,0,0,163,31
1410,2069,6,3710,0,0,0,0,0,1230,0,0,49,4108
1411,1919,240,2408,0,0,0,0,0,662,281,0,7,1924
1412,9912,161,5008,0,0,57,0,0,1744,223,4,148,1271
1413,450,0,1183,0,0,0,0,0,150,0,0,0,84
1414,1309,0,5879,0,0,0,0,0,1109,0,4,0,459
1415,917,0,5001,0,0,0,23,0,1356,0,0,85,293
1416,1130,0,2920,0,0,18,0,0,566,0,0,0,424
1417,1344,35,2485,0,0,0,0,157,1231,171,0,133,730
1418,1234,0,1180,0,0,0,0,0,294,128,151,0,575
1419,1850,95,1579,0,0,0,0,0,574,56,4,143,1035
1420,565,0,1263,0,0,0,0,30,416,100,0,0,425
1421,2250,193,3188,43,0,0,0,0,1605,387,75,216,2271
1422,512,0,2623,0,0,0,0,0,927,27,0,8,1265
1423,188,0,1081,0,0,0,0,0,41,0,0,0,14
1424,525,44,2920,0,0,0,0,4,1357,74,0,0,441
1425,1913,44,3252,0,0,0,0,0,1044,387,79,28,889
1426,325,0,1434,0,0,0,0,0,512,0,0,189,454
1427,324,0,4072,0,29,4,0,0,1263,54,0,78,373
1428,1632,167,3556,43,0,0,0,0,1454,222,0,46,352
1429,1050,0,3740,0,0,0,0,0,1931,35,37,29,496
1430,1730,0,2759,0,33,0,0,0,1134,604,0,22,2623
1431,1097,0,2670,0,0,0,0,0,709,0,91,0,297
1432,999,0,1865,0,0,0,0,0,369,37,18,49,1323
1433,679,0,2046,59,0,74,0,20,678,187,0,65,961
1434,843,332,3069,0,0,0,0,0,1876,183,0,36,52
1435,1572,494,2158,86,0,0,23,0,768,140,0,0,1571
1436,1293,0,3797,19,0,0,20,0,1140,44,33,44,1082
1437,802,0,2864,0,0,0,0,19,742,35,184,26,389
1438,2108,24,4526,36,0,0,0,0,1094,137,0,3,2057
1439,1830,76,4675,0,0,0,0,19,906,0,0,59,282
1440,485,20,1497,7,0,10,0,21,263,3,0,32,642
1441,85,0,184,0,0,0,0,0,12,0,0,0,0
1442,0,0,296,0,0,0,0,0,16,0,0,0,0
1443,72,34,760,0,0,0,0,0,143,0,0,0,70
1444,627,116,2016,0,0,0,0,0,597,30,0,79,293
1445,744,129,2404,17,0,0,0,0,713,0,0,0,129
1446,943,57,3714,0,0,0,0,0,1177,38,127,28,1122
1447,2023,22,8230,7,0,8,23,24,2962,208,0,35,806
1448,1064,92,4089,0,0,0,0,0,1654,213,43,36,1025
1449,437,34,1829,0,0,0,0,0,652,34,0,53,256
1450,888,8,2811,0,0,0,0,0,1476,166,0,0,778
1451,1893,601,6055,0,0,0,45,0,1993,0,0,94,1709
1452,947,183,2643,0,0,0,0,0,976,721,0,15,427
1453,647,53,1575,0,0,0,0,0,688,156,0,0,1215
1454,326,352,2192,0,0,0,0,0,1087,103,0,0,682
1455,3837,0,7143,17,0,0,0,0,1764,434,25,15,1453
1456,285,72,3210,0,0,0,31,5,672,501,0,87,462
1457,281,70,1777,0,0,0,0,13,585,625,0,0,486
1458,211,47,1122,0,8,0,0,0,244,0,34,37,212
1459,1805,0,3291,0,0,0,0,0,913,280,144,0,267
1460,1587,15,3212,0,0,0,0,0,866,0,0,27,981
1461,720,31,2820,0,0,0,0,0,1184,35,67,51,1058
1462,609,85,2301,0,0,0,0,0,935,92,21,66,1526
1463,1223,50,2113,0,0,0,0,0,852,38,0,0,786
1464,1142,30,4486,0,0,0,0,0,1349,194,0,41,786
1465,1561,56,4099,0,0,0,0,12,1200,144,0,0,1439
1466,4347,46,4100,0,0,12,0,6,997,109,23,57,2779
1467,866,0,1488,0,0,0,0,0,572,11,39,60,1033
1468,1740,0,2825,0,0,0,0,0,1124,37,0,30,2405
1469,3501,228,2768,0,0,0,0,0,551,89,45,0,910
1470,238,9,1147,27,0,0,0,0,265,730,0,5,117
1471,1262,195,3764,0,0,0,0,0,1350,274,0,0,670
1472,648,0,1328,0,0,0,0,0,283,75,0,0,217
1473,1615,0,2408,0,0,0,0,0,933,125,0,20,666
1474,162,0,531,0,0,0,0,0,189,0,0,0,47
1475,1716,33,3726,0,5,0,0,44,1326,24,0,50,3494
1476,631,114,1408,54,0,0,0,0,696,39,0,56,2154
1477,435,20,1763,0,0,0,0,0,1033,0,0,0,774
1478,5401,189,8458,27,0,0,6,0,2798,234,0,228,6162
1479,955,83,2360,0,0,0,0,0,1275,8,0,0,1145
1480,3646,36,4763,0,0,0,0,0,1224,29,0,202,2981
1481,509,4,1937,5,0,0,0,0,862,9,0,31,1615
1482,542,10,3545,19,0,0,0,0,1600,126,10,0,668
1483,442,0,2705,0,3,0,0,44,1104,88,0,0,898
1484,490,0,1851,0,0,0,0,0,498,30,0,0,474
1485,593,0,2962,0,0,3,0,0,1091,181,0,0,390
1486,425,36,3919,0,94,0,0,0,1299,156,257,0,806
1487,344,3,3611,0,13,0,0,5,1413,160,0,42,427
1488,289,0,1947,0,0,0,0,0,923,41,7,0,556
1489,1235,32,6296,50,0,0,20,0,1713,0,0,76,2140
1490,632,13,1475,0,0,0,0,0,316,0,0,0,232
1491,1186,19,4343,25,0,4,0,0,1332,65,20,72,656
1492,1437,18,8144,0,32,10,20,0,1963,0,64,162,458
1493,516,0,1895,0,0,0,0,8,663,120,0,8,1742
1494,2411,19,6752,0,12,16,0,0,3415,132,56,173,2889
1495,672,0,1819,0,14,0,0,0,405,48,6,0,651
1496,614,0,2245,0,27,4,0,0,823,30,0,29,544
1497,895,43,3151,0,3,0,0,0,1466,65,23,55,939
1498,916,0,3091,0,6,0,107,0,1690,102,0,25,1446
1499,188,30,1159,0,4,0,0,0,385,26,0,0,502
1500,469,107,2310,0,0,0,0,0,320,0,0,0,11
1501,132,0,1712,0,0,0,0,0,952,69,0,0,434
1502,355,0,1399,0,0,11,0,0,555,0,0,0,194
1503,1608,11,3692,0,0,0,0,0,958,28,57,0,661
1504,186,0,877,0,10,17,0,4,166,0,0,0,87
1505,1271,9,2643,0,3,5,0,0,1107,248,0,0,442
1506,421,0,1695,0,4,0,0,0,647,49,43,0,150
1507,773,103,3617,10,0,0,6,0,1599,188,0,0,1626
1508,1502,3,3411,0,0,0,0,0,1356,179,0,0,1834
1509,2790,33,5682,0,0,6,0,0,1468,0,0,53,877
1510,753,0,5872,10,11,0,0,0,2493,227,8,167,1967
1511,1976,0,4188,0,0,0,0,0,1505,261,22,13,3347
1512,2255,73,8786,55,10,5,0,0,3433,0,0,41,1177
1513,793,50,4204,0,0,0,10,0,1904,418,0,53,848
1514,245,7,2805,0,0,0,0,15,1147,0,0,81,13
1515,1403,55,4802,0,0,0,4,0,1227,0,22,155,1000
1516,1004,0,5368,0,0,0,0,0,1536,0,0,0,331
1517,178,0,1760,0,0,0,0,0,549,0,0,0,33
1518,18,0,378,0,0,0,0,0,58,0,0,0,0
1519,6153,213,13750,0,6,10,11,20,3946,15,55,72,2036
1520,1685,18,6023,47,18,27,0,27,1835,503,0,209,856
1521,369,0,1755,0,0,0,0,0,340,0,0,0,110
1522,1352,68,747,0,0,0,0,0,283,0,0,19,492
1523,386,72,2104,0,7,0,0,0,1121,107,0,0,1444
1524,177,63,1229,0,12,14,0,0,376,36,8,17,267
1525,987,233,2543,0,0,23,0,16,1069,128,18,227,2402
1526,1245,98,4759,0,0,0,0,0,1769,508,0,192,2771
1527,387,0,2454,0,7,0,0,0,840,107,12,0,459
1528,592,43,1816,0,30,0,0,0,688,46,0,0,632
1529,1053,15,4126,0,15,0,5,0,1986,162,22,0,188
1530,450,144,1708,0,25,0,21,0,964,32,0,0,410
1531,894,14,2365,0,11,4,0,12,734,79,0,11,855
1532,1500,0,9931,0,0,0,13,0,3490,387,0,94,350
1533,696,0,3694,0,0,0,0,0,1169,33,0,0,939
1534,764,3,3645,34,4,0,55,0,1123,6,0,45,299
1535,1114,29,2195,0,0,0,0,0,651,340,0,63,609
1536,461,90,3465,7,14,0,18,0,1264,284,0,48,610
1537,252,5,1633,14,0,0,0,0,487,0,0,0,138
1538,619,29,1111,0,0,0,0,0,235,210,0,0,675
1539,489,0,1426,0,0,0,0,0,453,0,35,0,272
1540,913,46,2292,0,0,0,0,0,962,406,0,0,1565
1541,290,122,2253,0,0,0,0,0,922,0,0,4,200
1542,966,0,4191,0,0,0,0,0,1918,289,14,11,588
1543,151,0,2214,0,4,0,0,0,567,376,0,0,672
1544,668,20,2226,0,110,78,0,0,706,376,8,81,149
1545,1332,84,5591,0,0,33,0,0,2036,27,142,0,2418
1546,1569,16,2659,0,0,0,0,0,805,0,0,0,1008
1547,70,0,2082,0,25,0,0,0,443,75,4,0,552
1548,1384,15,2901,0,107,0,0,0,684,95,7,40,1324
1549,228,17,1279,0,5,30,0,0,190,64,0,14,106
1550,1943,65,3321,0,66,0,0,0,1197,12,49,40,1857
1551,731,54,2930,0,0,0,0,32,856,36,27,0,968
1552,897,30,2398,0,10,0,0,0,1210,59,0,7,519
1553,2134,12,3731,0,5,87,0,0,3312,169,0,0,2214
1554,1513,109,2961,0,0,0,0,0,936,40,0,28,1641
1555,615,65,4267,66,0,0,0,0,1077,0,0,21,269
1556,1661,68,5899,36,0,0,0,5,1661,0,0,28,348
1557,984,13,1806,0,0,0,0,0,358,86,0,12,479
1558,1592,91,6723,0,11,4,22,0,2722,387,42,77,2016
1559,752,80,4147,28,10,0,0,0,1602,0,0,17,274
1560,331,77,1926,0,0,0,22,0,224,119,18,25,15
1561,1990,52,1892,0,0,0,0,32,887,419,0,12,998
1562,1072,11,2079,0,14,0,0,0,975,588,0,0,1675
1563,1360,6,4931,0,51,22,0,0,1640,156,28,38,744
1564,732,7,1240,0,14,84,0,0,507,52,0,0,208
1565,364,31,1577,0,3,0,0,26,449,83,0,0,385
1566,830,9,2276,0,5,0,0,0,680,0,0,0,1033
1567,2249,93,4606,0,0,11,0,13,1699,257,34,47,1676
1568,2171,36,3501,0,0,22,22,0,1828,148,0,292,1124
1569,2952,151,5841,0,17,32,55,5,1755,52,398,0,2172
1570,742,152,3875,0,7,0,77,0,1369,0,107,43,1781
1571,1048,78,2723,6,11,0,0,26,701,0,18,32,1517
1572,555,25,1793,0,0,4,28,0,1006,0,59,32,517
1573,684,188,3899,0,30,27,0,0,1508,48,87,90,1279
1574,689,62,4581,5,115,0,0,0,1000,12,51,0,1192
1575,1395,19,3932,9,100,9,13,12,1243,99,0,4,1149
1576,1141,72,5062,0,4,18,0,0,2436,28,0,43,688
1577,563,34,3571,0,41,0,0,19,1853,160,6,0,878
1578,311,22,2420,0,24,4,0,0,1399,0,11,11,207
1579,233,0,1608,0,0,0,0,0,427,47,0,39,211
1580,1227,7,2049,0,12,0,0,0,1105,0,9,0,754
1581,167,0,1290,0,55,13,0,0,299,122,0,4,265
1582,314,0,1295,0,0,0,0,0,565,37,0,0,412
1583,823,73,2720,0,0,0,0,0,608,0,9,0,261
1584,1237,21,1243,0,0,0,0,0,1002,0,0,0,1094
1585,220,0,534,0,0,8,0,0,99,0,0,0,168
1586,602,88,3307,0,33,36,0,0,1143,98,0,9,728
1587,1100,0,4032,0,30,70,0,0,1492,192,0,40,1129
1588,49,0,616,0,0,13,0,0,81,0,0,0,0
1589,664,5,2148,7,55,34,56,0,1143,108,14,21,656
1590,340,0,1430,0,31,9,0,0,645,0,0,0,99
1591,1264,19,2439,0,61,30,0,0,648,14,0,126,890
1592,2429,111,7789,7,37,38,0,0,1947,785,29,0,3367
1593,193,0,2049,0,0,0,0,0,625,0,0,40,172
1594,1877,44,4187,95,0,0,0,0,1595,387,176,121,611
1595,386,124,2573,0,0,0,0,0,1149,489,0,0,660
1596,1164,78,1977,0,0,18,0,0,859,0,0,0,480
1597,555,96,2930,0,0,21,0,0,944,207,0,34,289
1598,3779,158,2611,0,0,26,8,0,828,0,0,0,840
1599,116,0,628,0,5,20,0,0,403,49,0,0,59
1600,904,113,4753,0,41,14,0,0,2158,83,0,148,588
1601,733,89,4325,0,79,0,0,0,2084,197,157,0,459
1602,271,14,6060,0,70,134,0,0,2847,81,0,14,1556
1603,610,82,8625,206,237,113,74,0,2619,85,36,9,2074
1604,743,0,4216,0,7,0,0,42,1599,100,29,51,1039
1605,69,0,1497,0,5,0,0,49,596,0,0,0,24
1606,326,0,1515,0,22,4,0,0,339,43,0,0,50
1607,671,84,3347,0,14,25,0,0,1186,119,0,151,1185
1608,272,27,2042,0,0,0,0,0,289,0,0,0,75
1609,361,91,1353,0,0,0,0,0,901,0,0,0,137
1610,103,0,1602,0,0,0,0,0,566,0,0,0,87
1611,254,0,1140,0,0,0,0,0,31,0,0,14,46
1612,1085,0,3771,0,0,11,0,0,1785,298,0,5,2015
1613,1460,0,6221,0,0,0,0,0,2776,491,0,247,1158
1614,583,0,1619,0,0,0,0,0,710,0,19,0,208
1615,137,0,959,0,24,0,0,0,191,0,0,0,89
1616,981,41,4425,0,18,0,0,0,1179,24,0,130,181
1617,713,46,1621,0,0,0,0,0,924,0,36,0,242
1618,216,78,1588,0,0,0,0,0,463,178,0,49,184
1619,1302,41,5068,0,4,0,0,0,1778,65,0,50,1314
1620,535,119,3688,0,4,4,0,0,1445,0,0,0,2216
1621,875,32,6611,0,34,0,22,0,2996,167,53,0,2822
1622,796,308,6795,0,6,9,0,0,2683,526,39,0,2363
1623,256,56,1188,0,0,0,0,0,332,0,0,0,104
1624,941,78,4281,0,24,0,0,63,1213,26,0,6,1551
1625,1664,287,8131,0,31,36,0,14,4100,162,0,15,3044
1626,1930,83,5516,0,28,5,37,55,2220,119,7,0,1079
1627,579,0,3526,0,6,8,0,0,1770,70,0,4,1082
1628,461,62,3330,0,5,0,0,35,1858,0,13,0,763
1629,1213,94,5728,0,77,0,0,20,1782,211,76,0,1759
1630,346,122,2360,0,0,18,0,0,840,94,0,0,259
1631,321,0,3673,0,64,17,22,0,1907,164,3,0,772
1632,277,0,2952,0,0,0,0,0,1553,0,0,0,188
1633,464,145,4280,0,0,0,0,7,1059,0,20,70,358
1634,1292,253,8059,0,5,15,0,0,2521,71,0,98,4535
1635,1975,295,6462,0,4,8,0,0,2317,495,0,20,3351
1636,291,0,1130,0,0,0,0,0,359,0,0,0,961
1637,683,46,3249,9,5,0,0,0,1754,409,0,15,1465
1638,127,10,1218,0,0,0,0,0,524,0,0,0,76
1639,168,63,2830,0,0,0,11,0,933,0,0,0,217
1640,1584,111,4999,0,22,0,0,0,2152,408,0,37,1309
1641,209,0,2122,0,11,0,0,4,907,11,0,0,1065
1642,309,85,2898,0,13,0,0,0,1362,44,0,0,788
1643,550,25,3077,0,0,0,0,0,665,0,50,0,99
1644,154,0,1306,0,0,0,0,0,255,0,0,31,30
1645,350,0,1148,0,0,0,0,0,284,0,16,0,65
1646,381,12,2443,0,0,0,0,0,1308,0,52,22,188
1647,1638,71,4996,30,0,70,0,0,2754,336,52,15,2655
1648,142,0,897,0,0,0,0,0,306,0,0,0,20
1649,352,0,2548,0,0,0,0,0,694,0,0,0,149
1650,78,21,1979,0,0,0,0,0,738,0,0,235,145
1651,579,24,3890,0,0,16,0,0,1898,140,29,0,548
1652,529,0,1924,0,42,24,0,0,746,55,0,0,152
1653,786,41,3527,0,0,0,0,0,727,29,0,0,364
1654,2040,38,4823,0,0,0,0,0,2367,773,0,36,1584
1655,1138,70,5413,0,0,27,0,0,1903,305,0,61,808
1656,275,129,2162,0,70,10,0,16,817,0,0,0,115
1657,400,22,878,0,0,0,0,0,64,0,0,0,11
1658,645,0,2834,0,21,0,0,0,2067,161,31,111,814
1659,144,10,619,0,0,0,0,0,413,55,0,11,12
2001,0,0,24,0,0,0,0,0,64,0,0,0,0
2002,0,0,30,0,0,0,0,0,9,0,0,0,0
2003,0,0,151,0,0,0,0,0,43,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,54,0
2007,0,0,27,0,0,0,0,0,0,0,0,0,0
2008,0,0,5,0,0,0,0,0,0,0,0,0,0
2010,0,0,71,0,0,0,0,0,16,0,0,0,0
2011,0,0,14,0,0,0,0,0,0,0,0,0,0
2012,0,0,7,0,0,0,0,0,7,0,0,0,0
2013,0,0,20,0,0,0,0,0,0,0,0,0,0
2016,0,0,25,0,0,0,0,0,0,0,0,0,0
2019,0,0,7,0,0,0,0,0,0,0,0,0,0
2020,0,0,19,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,41,0,0,0,0
2025,0,0,20,0,0,0,0,0,0,0,0,0,0
2026,0,0,110,0,0,0,0,0,15,0,0,0,0
2028,0,0,39,0,0,0,0,0,0,0,0,0,0
2029,8,0,81,0,0,0,0,0,228,0,0,0,0
2030,0,0,4,0,0,0,0,0,0,0,0,0,0
2031,0,0,85,0,0,0,0,0,17,0,0,0,0
2032,0,0,22,0,0,0,0,0,0,0,0,0,0
2033,0,0,292,0,0,0,0,0,86,86,0,0,28
2034,0,0,160,0,0,0,0,0,70,0,0,0,0
2035,0,0,199,0,0,0,0,0,145,0,0,0,0
2036,0,0,27,0,0,0,0,0,0,0,0,0,0
2037,0,0,69,0,0,0,0,0,0,0,0,0,0
2038,0,0,118,0,0,0,0,0,5,0,0,0,0
2039,0,0,179,0,0,0,0,0,9,0,0,0,0
2040,0,0,186,0,0,0,0,0,0,0,0,0,28
2041,40,0,642,0,0,0,0,0,109,0,0,0,0
2042,47,0,1717,0,6,5,0,0,502,0,0,0,0
2043,0,0,217,0,0,0,0,0,29,0,0,0,0
2044,0,0,126,0,0,0,0,0,0,0,0,0,0
2045,28,0,401,0,0,0,0,0,95,0,0,0,0
2046,221,0,831,0,0,10,0,0,171,0,0,0,0
2047,0,0,710,0,0,4,0,0,51,0,0,0,0
2048,11,0,729,0,0,0,0,0,461,0,0,0,0
2049,0,0,157,0,0,0,0,0,21,0,0,0,0
2050,0,0,219,0,0,87,0,0,92,0,0,0,0
2051,0,0,332,0,18,0,0,0,37,0,0,0,0
2052,0,0,256,0,4,0,0,0,3,0,0,0,0
2053,0,0,544,0,0,0,0,0,17,0,0,0,0
2054,0,0,279,0,0,4,0,0,69,0,0,0,0
2055,0,0,762,0,0,29,0,0,27,0,0,0,0
2056,0,0,345,0,0,15,0,0,0,0,0,0,0
2057,0,0,4,0,0,0,0,0,0,0,0,0,0
2059,0,0,52,0,0,0,0,0,24,0,0,105,0
2060,0,0,374,0,0,0,0,0,17,0,0,0,0
2061,0,0,173,0,0,0,0,0,83,0,0,0,0
2062,0,0,25,0,0,0,0,0,19,0,0,0,0
2063,0,0,27,0,0,5,0,0,0,0,0,0,0
2064,0,0,130,0,0,0,0,0,0,0,0,0,0
2066,0,0,4,0,0,0,0,0,0,0,0,0,0
2067,0,0,17,0,0,0,0,0,8,0,0,0,0
2068,0,0,50,0,0,0,0,0,0,0,0,0,0
2069,0,0,37,0,0,0,0,0,0,0,0,0,0
2070,0,0,79,0,0,0,0,0,117,0,0,0,0
2071,0,0,65,0,0,0,0,0,0,0,0,0,0
2072,0,0,20,0,0,0,0,0,0,0,0,0,0
2074,0,0,211,0,0,0,0,0,39,0,0,0,0
2075,80,0,72,0,0,0,0,0,59,0,0,0,0
2076,0,0,115,0,0,0,0,0,139,0,0,0,0
2077,27,0,851,0,0,0,0,0,383,0,0,0,54
2078,0,0,212,0,0,0,0,0,14,0,0,0,0
2080,31,0,138,0,0,0,0,0,33,0,0,0,0
2081,0,0,5,0,0,0,0,0,0,0,0,0,0
2082,0,0,126,0,9,0,0,0,0,0,0,0,0
2083,0,0,47,0,0,0,0,0,0,0,0,0,0
2084,0,0,5,0,0,0,0,0,0,0,0,0,0
2085,0,0,141,0,0,0,0,0,0,0,0,0,0
2088,0,0,355,0,0,0,4,0,45,0,0,0,0
2089,0,0,216,0,0,0,0,0,28,0,0,0,0
2090,0,0,217,0,0,0,0,0,0,0,0,0,0
2091,0,0,43,0,0,0,0,0,46,0,0,0,0
2092,60,0,414,0,0,3,0,0,15,0,0,0,0
2093,0,0,109,0,0,6,0,0,0,0,0,0,0
2094,0,0,138,0,5,4,0,0,20,0,0,0,0
2095,0,0,95,0,0,0,0,0,29,0,0,0,0
2096,0,0,68,0,0,0,0,0,5,0,0,0,12
2097,0,0,80,0,0,4,0,0,0,0,0,0,0
2099,0,0,14,0,0,0,0,0,0,0,0,0,0
2102,0,0,27,0,0,0,0,0,0,0,0,0,0
2106,0,0,26,0,0,0,0,0,14,0,0,0,0
2107,0,0,6,0,0,0,0,0,0,0,0,0,0
2108,0,0,3,0,0,0,0,0,0,0,0,0,0
2109,0,0,6,0,0,0,0,0,12,0,0,0,0
2110,0,0,53,0,0,0,0,0,0,0,0,0,0
2112,0,0,91,0,0,0,0,0,8,0,0,0,0
2113,0,0,7,0,0,0,0,0,7,0,0,0,0
2114,0,0,10,0,0,0,0,0,0,0,0,0,0
2115,0,0,52,0,0,0,0,0,0,0,0,0,0
2116,0,0,56,0,0,0,0,0,18,0,0,0,0
2117,0,0,124,0,0,0,0,0,0,0,0,0,0
2118,0,0,16,0,0,0,0,0,0,0,0,0,0
2121,0,0,43,0,0,4,0,0,0,0,0,0,0
2122,0,0,35,0,0,0,0,0,56,0,0,0,0
2123,0,0,22,0,0,0,0,0,0,0,0,0,0
2124,0,0,32,0,0,4,0,0,11,0,0,0,0
2125,34,0,0,0,0,0,0,0,0,0,0,0,0
2127,0,0,11,0,0,0,0,0,0,0,0,0,0
2128,0,0,41,0,0,0,0,0,0,0,0,0,0
2129,0,0,31,0,0,0,0,0,0,0,0,0,0
2130,0,0,151,0,0,0,0,0,0,0,0,0,0
2131,0,0,116,0,0,8,0,0,4,0,0,0,0
2132,0,0,89,0,0,0,0,0,15,0,0,0,0
2133,0,0,92,0,0,0,0,0,0,0,0,0,0
2134,0,0,60,0,0,0,0,0,13,0,0,0,0
2135,0,0,151,0,0,0,0,0,0,0,0,0,0
2136,0,0,6,0,0,0,0,0,0,0,0,0,0
2137,0,0,113,0,0,0,0,0,97,0,0,0,0
2139,0,0,21,0,0,0,0,0,0,0,0,0,0
2140,0,0,116,0,0,0,0,0,0,0,0,0,0
2141,0,0,98,0,0,0,0,0,50,0,0,0,0
2142,0,0,83,0,11,0,0,0,15,0,0,0,0
2143,0,0,35,0,0,0,0,0,0,0,0,0,0
2144,0,0,221,0,0,0,0,0,0,0,0,0,0
2145,0,0,39,0,0,0,0,0,0,0,0,0,0
2146,0,0,250,0,0,33,0,0,8,0,0,0,0
2147,0,0,73,0,0,0,0,0,26,0,0,0,0
2148,69,0,19,0,0,27,0,0,0,0,0,0,0
2149,0,0,7,0,0,0,0,0,0,0,0,0,0
2150,0,0,47,0,0,0,0,0,0,0,0,0,0
2152,0,0,69,0,0,0,0,0,0,0,0,12,0
2153,0,0,294,0,0,0,0,0,122,0,0,0,28
2154,0,0,187,0,0,0,0,0,115,0,0,0,0
2155,0,0,260,0,0,0,30,0,0,0,0,0,0
2157,0,0,14,0,0,0,0,0,0,0,0,0,0
2159,0,0,30,0,0,0,0,0,0,0,0,0,0
2171,0,0,46,0,0,0,0,0,0,0,0,0,0
2172,0,0,26,0,0,0,0,0,0,0,0,0,0
2173,0,0,8,0,0,0,0,0,0,0,0,0,0
2175,0,0,9,0,0,0,0,0,0,0,0,0,0
2179,376,0,465,0,0,73,0,0,76,0,0,0,0
2180,0,0,37,0,0,0,0,0,0,0,0,0,0
2181,0,0,106,0,0,0,0,0,0,0,0,0,0
2182,0,0,0,0,0,10,0,0,0,0,0,0,0
2184,0,0,50,0,0,0,0,0,0,0,0,0,0
2185,0,0,89,0,0,0,0,0,0,0,0,0,0
2186,0,0,21,0,0,0,0,0,0,0,0,0,0
2187,0,0,82,0,0,0,0,0,82,0,0,0,0
2188,0,0,207,0,0,0,0,0,11,0,0,0,0
2189,0,0,5,0,0,0,0,0,14,0,0,0,0
2191,0,0,22,0,0,0,0,0,0,0,0,0,0
2193,19,0,42,0,0,0,0,0,19,0,0,0,0
2194,0,0,189,0,0,0,0,0,83,0,0,0,0
2195,0,0,45,0,0,0,0,0,0,0,0,0,0
2196,0,0,95,0,0,0,0,0,0,0,0,0,0
2197,0,0,9,0,0,0,0,0,0,0,0,0,0
2199,0,0,228,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0,0,11,0,0,0
2201,0,0,14,0,0,0,0,0,0,0,0,0,0
2202,0,0,0,0,0,0,0,0,8,0,0,0,0
2203,0,0,24,0,0,0,0,0,79,0,0,0,0
2204,0,0,235,0,0,0,0,0,74,0,0,0,0
2205,0,0,130,0,0,10,0,0,14,0,0,0,0
2206,0,0,105,0,0,0,0,0,0,0,0,0,0
2207,0,0,87,0,0,0,0,0,0,0,0,0,0
2208,16,0,171,0,0,0,0,0,41,0,0,0,0
2209,0,0,44,0,0,0,0,0,0,0,0,0,0
2210,0,0,103,0,0,0,0,0,0,0,0,0,11
2211,0,0,71,0,0,0,0,0,55,0,0,0,0
2212,0,0,17,0,0,0,0,0,14,0,0,0,0
2213,0,0,26,0,0,0,0,0,0,0,0,0,0
2214,0,0,33,0,0,0,0,0,0,0,0,0,0
2215,0,0,29,0,0,0,0,0,0,0,0,0,0
2216,0,0,36,0,0,0,0,0,0,0,0,0,0
2217,6,0,486,0,0,0,0,0,84,0,0,0,0
2218,0,0,392,0,0,0,0,0,0,0,0,0,0
2220,0,0,10,0,0,0,0,0,0,0,0,0,0
2221,0,0,18,0,0,0,0,0,32,0,0,0,0
2222,0,0,37,0,0,0,0,0,0,0,0,0,0
2224,0,0,169,0,0,0,0,0,0,0,0,0,0
2226,0,0,4,0,0,0,0,0,0,0,0,0,0
2237,0,0,17,0,0,0,0,0,0,0,0,0,0
2238,0,0,145,0,0,0,0,0,0,0,0,0,0
2241,32,0,57,0,0,0,0,0,0,0,0,0,0
2242,0,0,9,0,0,0,0,0,9,0,0,0,0
2243,0,0,40,0,0,0,0,0,0,0,0,0,0
2248,0,0,48,0,0,0,0,0,0,0,0,0,0
2250,0,0,10,0,0,0,0,0,0,0,0,0,0
2252,0,0,256,0,0,0,0,0,0,0,0,0,0
2254,0,0,6,0,0,0,0,0,38,0,0,0,0
2258,0,0,16,0,0,0,0,0,0,0,0,0,0
2259,0,0,19,0,0,0,0,0,0,0,0,0,0
2260,0,0,37,0,0,0,0,0,20,0,0,0,0
2261,0,0,109,0,0,0,0,0,0,0,0,0,0
